Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainTomarrow
1/1/2009,16.4,38.7,0,12.2,9.3,54,15,28,27,11,1005.5,1003.3,6,8,28.9,37.4,No
1/2/2009,22.3,30.3,0,11.2,3,30,19,15,68,40,1009.5,1009,6,7,25.2,29.4,No
1/3/2009,21.2,33.3,0,6.2,11.7,46,22,22,57,31,1014.9,1012.2,6,5,24.5,32.7,No
1/4/2009,16.4,33.5,0,11.2,13.3,39,20,20,51,28,1016.9,1012.2,1,3,22.9,31.9,No
1/5/2009,19.2,34.5,0,12.6,13.4,35,19,11,44,22,1015.1,1010.6,1,6,24.2,32.9,No
1/6/2009,21.3,36.8,0,10.8,12.4,33,24,9,54,26,1013.6,1009.1,1,5,25.4,34.6,No
1/7/2009,22.2,34.5,0,10,7.6,39,26,7,56,23,1012.7,1008.5,7,7,25.2,32.5,No
1/8/2009,23.7,36.4,0,8.6,7.7,46,24,9,46,31,1009.6,1007,7,5,26.3,34.3,No
1/9/2009,20.4,34.3,0,12,6.8,69,26,7,53,31,1011.2,1008,5,5,26.3,32.1,No
1/10/2009,16,32.1,9.2,9.8,9.6,76,NA,9,51,29,1012,1007.3,2,5,21.1,30.4,Yes
1/11/2009,18.2,33,3.4,8.6,11.8,76,24,13,56,37,1011.2,1008,1,5,22.5,30.3,Yes
1/12/2009,21.5,34.6,0,8,9.8,41,26,11,55,26,1013.3,1010.1,5,5,25.5,33.7,No
1/13/2009,21.2,35.9,0,10.4,13.1,43,19,15,47,19,1016.3,1012.3,1,3,25.4,34.3,No
1/14/2009,19.5,35,0,13.4,13.2,39,24,11,47,24,1016.8,1012.7,1,1,24.3,33,No
1/15/2009,20.5,36.1,0,12.2,13.2,43,30,11,48,24,1015.5,1011.4,0,1,24.4,33.2,No
1/16/2009,21.1,40.1,0,12.8,12.9,48,22,17,32,15,1011.5,1007.6,2,3,28.1,38.2,No
1/17/2009,15,35.6,0,16.8,13.3,57,9,24,32,11,1011.7,1009.4,0,1,25.6,34.2,No
1/18/2009,18.5,33.3,0,13.8,12.2,48,24,11,51,36,1018.1,1014.4,5,4,22.4,30.7,No
1/19/2009,19.7,31.6,0,12.2,3.7,52,30,17,52,35,1017.8,1013.4,8,8,22.5,30.7,No
1/20/2009,22.1,33.6,0,10.4,5.2,44,30,11,48,29,1016.6,1012.7,7,6,24.6,32.2,No
1/21/2009,23.8,32.5,0,8.8,0.7,76,28,11,54,36,1014.8,1011.7,8,8,25.1,31.3,No
1/22/2009,20.5,24.5,47.6,9.2,0,48,26,31,97,95,1012.4,1009.3,8,8,21.1,22.5,Yes
1/23/2009,21.1,32.1,23,1.6,6.8,22,13,9,86,54,1011.4,1008.7,7,5,24.3,31.2,Yes
1/24/2009,23.2,35.5,0,5.2,10.9,28,15,11,79,47,1010.1,1007.4,5,7,27,34.2,No
